Province,Year,GRDP Capita,GRDP Employed,Health Complaint,Formal Sector,Unemployed Percent,HDI,Gov Spending,Gov CapEx,Poverty,Gini,Decent Sanitation,Clean Water,HS Graduation,Agriculture,Life Expectancy,GRDP Nominal,Population Thousand
JAMBI,2019,41812.35,86.6148420195383,21.42,0.4294,3.79,71.26,19665.28,4513.78,7.555,0.322,75.6,76.92,56.87,60510.6384955274,71.04,216927708.24,3624.6
JAMBI,2020,41952.77,85.8363993237113,21.63,0.3726,4.695,71.29,18073.86,3251.13,7.775,0.318,77.82,78.86,63.66,63708.2013137589,71.17,206242610.97,3548.2
JAMBI,2021,42922.34,88.1769714339087,16.83,0.3799,4.925,71.63,18037.55,3186.3,7.88,0.318,80.36,79.7,64.51,73769.5637469939,71.26,233725458.64,3585.1
SUMATERA SELATAN,2015,31549.3,66.5798334985742,29.41,0.3869,5.55,67.46,26946.58,6940.54,14.01,0.347,61.3,65.16,48.9,56841.7204970998,69.19,331765701.71,8062.7
SUMATERA SELATAN,2016,32699.5,68.5272206813191,26.63,0.3929,4.125,68.24,29539.59,6727.45,13.465,0.355,65.05,63.77,55.37,59090.0673266756,69.22,353866964.62,8160.9
SUMATERA SELATAN,2017,34059.71,68.9581310667545,26.82,0.376,4.095,68.86,32325.39,7640.39,13.145,0.363,66.36,64.02,54.15,60507.6456611835,69.23,382885701.28,8267
SUMATERA SELATAN,2018,35659.82,70.3618888354828,28.57,0.3878,4.175,69.39,35413.57,7868.77,12.81,0.3495,68.6,65.31,63.94,62234.1681232961,69.46,419392156.72,8370.3
SUMATERA SELATAN,2019,37125.75,74.8475128583651,30.9,0.3948,4.275,70.02,42097.23,10348.29,12.635,0.3345,74.67,80.37,58.23,65661.8064442539,69.705,453402714.08,8470.7
SUMATERA SELATAN,2020,37323.24,74.8942443631324,29.32,0.3474,4.705,70.01,40214.24,8710.29,12.82,0.3385,76.94,80.78,65.42,69501.2104330091,69.93,456647864.37,8467.4
SUMATERA SELATAN,2021,38172.58,77.4384276893542,27.91,0.3584,5.075,70.24,40429.5,9039.18,12.815,0.3405,77.29,84.7,67.2,74311.3095328191,70.03,491566450.41,8550.9
BENGKULU,2015,20302.48,40.3292424786599,27.96,0.3119,4.06,68.59,10099.79,2360.15,17.52,0.3735,39.22,41.08,55.94,15429.037971126,68.54,50334017.7,2100.6
BENGKULU,2016,21039.84,41.6805792415311,27.66,0.3408,3.57,69.33,11069.95,2608.94,17.175,0.3555,49.75,37.35,64.31,16538.023882329,68.555,55384172.03,1904.8
BENGKULU,2017,21751.64,41.8825729399667,24.83,0.3361,3.275,69.95,11704.5,2446.44,16.02,0.35,42.71,43.83,62.57,17729.6346930663,68.575,60657676.57,1934.3
BENGKULU,2018,22494.84,42.8052984170492,27.07,0.3116,2.99,70.64,11757.59,2029.48,15.42,0.3585,44.31,49.37,58.86,19029.3360555718,68.825,66402993.05,1963.3
BENGKULU,2019,23504.53,44.7213097536758,29.72,0.3488,2.835,71.21,12684.18,2467.32,15.07,0.3345,75.91,57.6,61.47,20314.8879938312,69.205,72098240.45,1991.8
BENGKULU,2020,23105.92,43.423580242633,30.23,0.3077,3.575,71.4,12082.87,1902.41,15.165,0.3285,78.1,62.47,62.73,20782.2221253025,69.37,73305267.04,2010.7
BENGKULU,2021,23532.24,45.8491390290536,26.63,0.3184,3.685,71.64,11848.33,1578.39,14.825,0.3235,79.81,67.39,62.46,22445.1552537385,69.47,79576326.26,2032.9
LAMPUNG,2015,24581.78,50.8868657908944,31.42,0.2917,4.29,66.95,21685.11,4466.01,13.94,0.364,44.83,55.06,40.6,80725.807236,69.94,252883103.49,8123
